CustomerID,Name,Age,Gender,SubscriptionType,SubscriptionDate,LastLoginDate,TotalSessions,FeedbackScore,IsChurned
CUST0001,Ross Walker,53,Other,Monthly,2025-01-16,2026-01-01,18,8,1
CUST0002,Kyle Holmes,21,Female,Monthly,2025-02-08,2025-06-20,48,7,1
CUST0003,Ryan Harrington,50,Female,Monthly,2024-06-08,2025-11-28,4,1,1
CUST0004,Christina Gonzales,47,Other,Yearly,2024-10-10,2025-04-15,48,4,1
CUST0005,Shaun Miller,34,Male,Yearly,2026-03-17,2026-04-07,39,8,0
CUST0006,Thomas Rodriguez,59,Male,Yearly,2025-06-20,2026-03-20,38,4,0
CUST0007,Bryan Ellis,28,Other,Yearly,2025-04-19,2025-06-01,18,9,1
CUST0008,Amber Jenkins,55,Other,Yearly,2025-09-01,2025-11-26,11,5,1
CUST0009,Peter Rodriguez,37,Other,Quarterly,2025-02-18,2025-02-21,47,4,1
CUST0010,James Gomez,45,Male,Quarterly,2024-06-22,2026-03-24,33,9,0
CUST0011,William Blankenship,53,Male,Quarterly,2024-11-09,2025-12-28,28,5,1
CUST0012,Jennifer Cook,29,Male,Quarterly,2024-11-29,2024-12-01,50,3,1
CUST0013,Suzanne Cisneros,46,Female,Monthly,2024-08-12,2025-05-08,11,3,1
CUST0014,Thomas Alvarado,47,Female,Quarterly,2025-10-29,2026-01-07,40,10,1
CUST0015,Michael Molina,46,Male,Yearly,2025-05-31,2026-01-22,20,7,1
CUST0016,Carl Ortiz,26,Male,Quarterly,2025-11-18,2026-01-16,7,9,1
CUST0017,Donald Patton,51,Female,Quarterly,2025-08-27,2025-09-22,37,8,1
CUST0018,Mrs. Lisa Stanley,23,Other,Monthly,2024-11-18,2025-11-26,1,9,1
CUST0019,Melissa Wang,33,Female,Yearly,2025-07-02,2025-11-10,6,1,1
CUST0020,Anthony Johnson,30,Other,Quarterly,2024-12-12,2025-12-04,49,9,1
CUST0021,Tracy Miller,46,Female,Monthly,2026-01-22,2026-01-31,28,3,1
CUST0022,Christopher Freeman,55,Male,Monthly,2025-12-29,2026-02-27,20,10,0
CUST0023,Heidi Patterson,37,Male,Quarterly,2024-11-17,2025-04-17,23,5,1
CUST0024,Brian Williamson,48,Other,Yearly,2024-12-03,2025-09-27,27,10,1
CUST0025,Lauren Cooper,23,Other,Monthly,2025-10-07,2026-02-02,36,5,1
CUST0026,Christopher Hall,49,Female,Quarterly,2024-05-09,2026-01-31,49,10,1
CUST0027,Bryan Matthews,48,Other,Quarterly,2025-01-18,2025-04-04,8,9,1
CUST0028,Karen Morgan,27,Female,Quarterly,2024-11-18,2026-03-10,11,3,0
CUST0029,Tara Long,51,Other,Monthly,2024-04-27,2026-02-28,11,6,0
CUST0030,Vincent Macias,28,Other,Quarterly,2024-08-17,2024-12-10,6,9,1
CUST0031,Karla King,30,Female,Quarterly,2024-08-22,2026-01-12,28,5,1
CUST0032,Jacob Olson,36,Other,Yearly,2026-01-26,2026-02-27,23,1,0
CUST0033,Sean Robinson,30,Other,Quarterly,2024-11-09,2025-11-21,48,6,1
CUST0034,Henry Lawson,49,Male,Yearly,2025-05-12,2025-08-02,41,2,1
CUST0035,Timothy Cruz,60,Other,Yearly,2024-06-29,2025-10-02,34,9,1
CUST0036,Stephanie Ruiz,43,Female,Monthly,2024-05-17,2025-08-03,32,8,1
CUST0037,Justin Ford,47,Other,Monthly,2025-04-20,2026-02-07,9,7,1
CUST0038,Jacob Rogers,37,Other,Monthly,2025-07-11,2026-04-16,22,8,0
CUST0039,Christopher Reynolds,43,Other,Yearly,2024-10-18,2025-09-17,20,5,1
CUST0040,Jennifer Mcmillan,37,Other,Monthly,2024-07-02,2024-11-29,34,8,1
CUST0041,Amy Martinez,25,Male,Quarterly,2024-04-26,2024-09-19,17,10,1
CUST0042,Megan Ramirez,50,Male,Quarterly,2025-01-21,2025-06-26,28,6,1
CUST0043,Joseph Mcpherson,37,Male,Monthly,2024-12-08,2025-06-30,36,7,1
CUST0044,Stephanie Reyes,33,Female,Monthly,2025-01-25,2025-06-14,29,8,1
CUST0045,Douglas Kelley,44,Female,Yearly,2024-12-02,2025-05-12,8,1,1
CUST0046,Courtney Cook,40,Female,Yearly,2024-05-22,2024-09-14,4,8,1
CUST0047,Lisa Graves,34,Male,Yearly,2024-06-12,2025-03-06,43,10,1
CUST0048,Katelyn Smith,32,Male,Monthly,2024-08-05,2026-02-04,5,5,1
CUST0049,Nicole Johnson,50,Female,Monthly,2025-03-20,2025-11-21,40,1,1
CUST0050,Devon Huynh,27,Female,Monthly,2024-06-07,2025-04-13,6,10,1
CUST0051,Sarah Holmes,53,Female,Quarterly,2025-08-06,2025-12-17,37,9,1
CUST0052,Ms. Kelli Callahan MD,45,Male,Quarterly,2024-10-19,2025-03-09,49,9,1
CUST0053,Brenda Wheeler,51,Male,Yearly,2024-11-28,2025-06-08,34,6,1
CUST0054,Lori Kennedy,40,Other,Quarterly,2024-09-03,2025-06-09,50,2,1
CUST0055,Paul Newton,54,Male,Yearly,2024-08-10,2025-02-23,34,5,1
CUST0056,Sandra Arnold,32,Female,Quarterly,2026-03-12,2026-04-08,39,5,0
CUST0057,Nicholas Decker,32,Other,Quarterly,2024-10-26,2025-04-19,47,5,1
CUST0058,Cameron Johnson,28,Other,Yearly,2025-08-16,2025-12-10,23,2,1
CUST0059,Tyler Kim,45,Female,Yearly,2025-08-29,2025-11-20,6,5,1
CUST0060,Kevin Montes,20,Female,Monthly,2025-04-21,2025-11-14,13,9,1
CUST0061,Jerry Lopez,38,Male,Monthly,2026-02-07,2026-02-24,44,4,0
CUST0062,Amanda Kline,54,Male,Quarterly,2024-06-19,2026-04-06,34,3,0
CUST0063,Elizabeth Gomez,38,Female,Yearly,2025-09-08,2025-10-27,14,7,1
CUST0064,Luis Walker,54,Other,Monthly,2026-03-21,2026-04-06,10,3,0
CUST0065,Victoria Vasquez,22,Other,Yearly,2025-08-09,2026-01-18,30,1,1
CUST0066,Susan Hayes,25,Other,Yearly,2025-02-17,2025-12-12,41,7,1
CUST0067,Steven Moreno,56,Male,Yearly,2024-10-18,2025-02-27,3,1,1
CUST0068,Katherine Anderson,23,Male,Monthly,2024-12-06,2025-03-24,2,7,1
CUST0069,Grace Bowen,36,Other,Monthly,2025-05-26,2025-08-16,18,8,1
CUST0070,Jacob Dickson,34,Other,Monthly,2024-05-04,2024-05-20,2,4,1
CUST0071,Kevin Berry,33,Female,Quarterly,2025-05-16,2025-10-22,49,1,1
CUST0072,Tammy Mclaughlin MD,23,Female,Quarterly,2025-07-28,2025-11-26,38,6,1
CUST0073,Meghan Bailey,38,Female,Yearly,2024-08-14,2026-01-04,41,9,1
CUST0074,Alexander Carter,33,Other,Yearly,2024-11-17,2025-09-21,15,2,1
CUST0075,William Horton,44,Female,Monthly,2025-07-22,2025-10-12,5,5,1
CUST0076,Stacey Elliott,26,Female,Monthly,2026-01-19,2026-02-17,14,7,1
CUST0077,Denise Davenport,39,Other,Yearly,2025-10-24,2026-01-27,33,10,1
CUST0078,Helen Guerra,31,Male,Quarterly,2025-03-18,2025-07-29,41,3,1
CUST0079,Diamond Ramsey,36,Male,Quarterly,2026-03-19,2026-03-19,23,6,0
CUST0080,Stephanie Taylor,48,Female,Yearly,2025-01-26,2025-10-01,20,6,1
CUST0081,Todd Burch,27,Male,Monthly,2024-08-28,2025-10-26,22,5,1
CUST0082,Jordan Wagner,20,Other,Yearly,2025-01-25,2025-06-09,5,2,1
CUST0083,Kimberly Castro,36,Other,Quarterly,2025-01-20,2025-04-04,1,7,1
CUST0084,Bobby Alvarez,50,Other,Monthly,2026-02-08,2026-03-28,45,2,0
CUST0085,Ashley King,21,Other,Monthly,2024-05-15,2025-08-04,35,7,1
CUST0086,Amber Peterson,56,Male,Monthly,2024-08-22,2025-07-03,21,6,1
CUST0087,Sandra Taylor,38,Other,Quarterly,2024-08-18,2025-02-11,42,9,1
CUST0088,Ruth Watts,55,Other,Quarterly,2024-12-01,2025-04-05,7,1,1
CUST0089,Sophia Reid,46,Other,Yearly,2025-05-18,2026-03-16,40,3,0
